Unnamed: 0,ball_x,ball_y,ball_dx,ball_dy,paddle_x,leftHeld,RightHeld
2637,145,565,5,-5,160,False,True
1516,720,240,-5,-5,360,True,False
2629,105,585,5,-5,80,False,True
277,595,525,-5,5,500,False,False
2391,495,505,5,-5,540,False,True
2205,435,275,-5,-5,180,False,False
311,425,465,-5,-5,270,True,False
61,95,555,-5,-5,20,True,False
2006,150,110,5,-5,280,False,False
1336,40,20,-5,5,490,False,False
1276,340,280,-5,-5,0,True,False
1245,495,435,-5,-5,300,True,False
561,755,375,-5,-5,670,False,False
2365,365,525,5,5,340,False,True
3035,555,265,5,5,350,False,True
320,380,420,-5,-5,180,True,False
1808,740,60,5,5,280,False,False
1316,140,80,-5,-5,300,False,True
1725,325,355,5,-5,280,False,False
1116,440,80,5,5,590,False,False
2907,85,375,-5,-5,30,False,False
2559,245,335,-5,5,70,False,False
2587,105,475,-5,5,30,True,False
505,545,505,5,5,520,False,False
1245,495,435,-5,-5,300,True,False
1692,160,520,5,-5,140,False,True
1734,370,310,5,-5,280,False,False
2183,545,385,-5,-5,350,True,False
1219,625,565,-5,-5,560,True,False
915,565,235,-5,5,310,True,False
2681,365,345,5,-5,180,False,False
2076,500,240,5,5,470,False,True
1444,500,560,5,5,470,False,True
2221,355,195,-5,-5,90,True,False
1368,120,180,5,5,250,True,False
1590,350,130,-5,5,0,False,False
2221,355,195,-5,-5,90,True,False
2278,70,90,-5,5,40,False,False
1532,640,160,-5,-5,200,True,False
2528,400,180,-5,5,90,True,False
403,35,5,5,-5,90,False,False
998,150,510,-5,-5,20,True,False
994,170,530,-5,-5,60,True,False
1280,320,260,-5,-5,0,True,False
234,770,310,5,5,450,False,True
602,550,170,-5,-5,270,True,False
3069,725,435,5,5,530,False,False
3064,700,410,5,5,530,False,False
1035,35,325,5,-5,0,False,False
2662,270,440,5,-5,180,False,False
1113,425,65,5,5,590,False,False
2881,215,505,-5,-5,130,True,False
667,225,155,-5,5,140,False,False
2566,210,370,-5,5,70,False,False
1455,555,545,5,-5,580,False,True
3183,285,215,-5,-5,60,False,False
3233,35,35,-5,5,60,False,False
798,430,350,5,-5,480,False,False
210,650,190,5,5,470,True,False
1349,25,85,5,5,440,True,False
2379,435,565,5,-5,420,False,True
790,390,390,5,-5,480,False,False
1491,735,365,5,-5,610,True,False
2884,200,490,-5,-5,100,True,False
3189,255,185,-5,-5,60,False,False
1386,210,270,5,5,160,False,True
1459,575,525,5,-5,620,False,True
1827,745,155,-5,5,280,False,False
1000,140,500,-5,-5,0,True,False
578,670,290,-5,-5,510,True,False
1281,315,255,-5,-5,0,True,False
2059,415,155,5,5,300,False,True
1246,490,430,-5,-5,290,True,False
2928,20,270,5,-5,110,False,True
21,295,405,-5,5,290,True,False
3138,510,440,-5,-5,490,True,False
2784,700,170,-5,5,420,False,False
1729,345,335,5,-5,280,False,False
1695,175,505,5,-5,170,False,True
1513,735,255,-5,-5,390,True,False
785,365,415,5,-5,440,False,True
2058,410,150,5,5,290,False,True
1531,645,165,-5,-5,210,True,False
1286,290,230,-5,-5,0,False,True
1051,115,245,5,-5,60,False,True
1462,590,510,5,-5,650,False,True
2033,285,25,5,5,280,False,False
1505,775,295,-5,-5,470,True,False
355,205,245,-5,-5,90,False,False
437,205,165,5,5,280,False,True
2830,470,400,-5,5,230,False,False
453,285,245,5,5,440,False,True
115,175,285,5,-5,190,False,True
2889,175,465,-5,-5,50,True,False
1303,205,145,-5,-5,170,False,True
983,225,575,-5,5,170,True,False
1921,275,535,-5,-5,280,False,False
1520,700,220,-5,-5,320,True,False
1580,400,80,-5,5,0,False,False
2015,195,65,5,-5,280,False,False
598,570,190,-5,-5,310,True,False
1680,100,580,5,-5,20,False,True
1550,550,70,-5,-5,20,True,False
289,535,575,-5,-5,490,True,False
1690,150,530,5,-5,120,False,True
152,360,100,5,-5,560,False,True
1672,60,540,5,5,0,False,False
2156,680,520,-5,-5,620,True,False
1056,140,220,5,-5,110,False,True
278,590,530,-5,5,500,False,False
1106,390,30,5,5,590,False,False
2890,170,460,-5,-5,40,True,False
1339,25,35,-5,5,490,False,False
1688,140,540,5,-5,100,False,True
289,535,575,-5,-5,490,True,False
2187,525,365,-5,-5,310,True,False
2458,750,170,-5,-5,550,True,False
1806,730,50,5,5,280,False,False
441,225,185,5,5,320,False,True
301,475,515,-5,-5,370,True,False
558,770,390,-5,-5,670,False,False
1411,335,395,5,5,410,False,True
2301,45,205,5,5,50,False,True
1522,690,210,-5,-5,300,True,False
2097,605,345,5,5,680,False,True
2947,115,175,5,-5,300,False,True
1330,70,10,-5,-5,440,False,True
594,590,210,-5,-5,350,True,False
1024,20,380,-5,-5,0,False,False
3222,90,20,-5,-5,60,False,False
2750,710,0,5,5,180,False,False
