Unnamed: 0,ball_x,ball_y,ball_dx,ball_dy,paddle_x,leftHeld,RightHeld
3973,275,295,-5,5,60,True,False
3621,455,305,-5,-5,200,True,False
1219,175,565,5,-5,130,False,True
2506,290,70,5,5,250,False,True
4063,175,585,5,-5,150,False,True
76,780,480,5,-5,600,True,False
2180,240,400,5,-5,360,False,True
4136,540,580,5,-5,540,False,True
2945,675,205,-5,-5,320,True,False
354,590,250,5,-5,580,False,True
1234,250,490,5,-5,280,False,True
3486,450,180,5,5,460,False,True
781,435,435,-5,-5,310,True,False
583,155,265,5,-5,130,False,True
1863,235,335,5,5,320,False,True
582,150,270,5,-5,120,False,True
1574,370,50,5,5,450,False,True
2382,330,550,-5,-5,250,True,False
1390,550,290,-5,5,480,True,False
1945,645,415,5,-5,550,True,False
3938,450,120,-5,5,410,True,False
1569,345,25,5,5,400,False,True
300,320,520,5,-5,290,False,True
928,300,300,5,5,310,False,True
400,760,20,-5,-5,660,True,False
3788,380,530,5,5,330,False,True
4131,515,585,5,-5,490,False,True
592,200,220,5,-5,220,False,True
3734,110,260,5,5,110,False,True
111,625,305,-5,-5,250,True,False
982,570,570,5,5,550,False,True
285,245,565,5,5,200,False,True
2948,660,190,-5,-5,290,True,False
3147,335,355,5,-5,490,False,True
1117,335,85,-5,5,240,True,False
99,685,365,-5,-5,370,True,False
596,220,200,5,-5,260,False,True
2613,755,585,-5,-5,700,False,True
1552,260,60,5,-5,230,False,True
2689,375,325,-5,-5,390,True,False
3497,505,235,5,5,570,False,True
4083,275,585,5,-5,200,False,True
917,245,245,5,5,200,False,True
3487,455,185,5,5,470,False,True
2528,400,180,5,5,470,False,True
1107,385,35,-5,5,340,True,False
3781,345,495,5,5,260,False,True
3335,305,575,-5,-5,260,True,False
2173,205,435,5,-5,290,False,True
1850,170,270,5,5,190,False,True
1221,185,555,5,-5,150,False,True
1254,350,390,5,-5,480,False,True
3641,355,205,-5,-5,0,True,False
592,200,220,5,-5,220,False,True
924,280,280,5,5,270,False,True
2194,310,330,5,-5,500,False,True
1600,500,180,5,5,490,False,True
2635,645,585,-5,-5,560,True,False
2499,255,35,5,5,180,False,True
972,520,520,5,5,450,False,True
1128,280,140,-5,5,130,True,False
219,85,235,-5,5,50,True,False
433,595,145,-5,5,330,True,False
2389,295,515,-5,-5,180,True,False
768,500,500,-5,-5,440,True,False
3839,635,375,5,-5,600,False,True
521,155,575,-5,-5,130,True,False
409,715,25,-5,5,570,True,False
4138,550,570,5,-5,560,False,True
1241,285,455,5,-5,350,False,True
3914,570,0,-5,5,650,True,False
2816,260,310,5,5,400,False,True
2161,145,495,5,-5,170,False,True
2372,380,560,-5,5,350,True,False
587,175,245,5,-5,170,False,True
2801,185,235,5,5,250,False,True
104,660,340,-5,-5,320,True,False
790,390,390,-5,-5,220,True,False
1543,215,105,5,-5,140,False,True
3470,370,100,5,5,300,False,True
40,600,500,5,5,570,False,True
2515,335,115,5,5,340,False,True
3299,485,405,-5,5,490,True,False
2049,415,105,-5,5,200,True,False
3923,525,45,-5,5,560,True,False
2614,750,580,-5,5,700,False,True
3934,470,100,-5,5,450,True,False
2513,325,105,5,5,320,False,True
1395,525,315,-5,5,430,True,False
358,610,230,5,-5,620,False,True
477,375,365,-5,5,230,True,False
2132,0,520,5,5,40,True,False
3788,380,530,5,5,330,False,True
2645,595,545,-5,-5,460,True,False
34,570,470,5,5,510,False,True
4099,355,585,5,-5,260,False,True
2571,615,395,5,5,600,False,True
3725,65,215,5,5,20,False,True
36,580,480,5,5,530,False,True
1394,530,310,-5,5,440,True,False
3975,265,305,-5,5,40,True,False
4191,765,305,-5,-5,440,True,False
2568,600,380,5,5,570,False,True
2931,745,275,-5,-5,460,True,False
3972,280,290,-5,5,70,True,False
3966,310,260,-5,5,130,True,False
2607,785,575,-5,5,660,False,True
3496,500,230,5,5,560,False,True
218,90,230,-5,5,60,True,False
2937,715,245,-5,-5,400,True,False
3621,455,305,-5,-5,200,True,False
2814,250,300,5,5,380,False,True
34,570,470,5,5,510,False,True
784,420,420,-5,-5,280,True,False
397,775,35,-5,-5,690,True,False
88,740,420,-5,-5,480,True,False
3104,120,570,5,-5,60,False,True
918,250,250,5,5,210,False,True
508,220,520,-5,5,190,True,False
88,740,420,-5,-5,480,True,False
2390,290,510,-5,-5,170,True,False
24,520,420,5,5,410,False,True
2154,110,530,5,-5,100,False,True
1392,540,300,-5,5,460,True,False
3592,600,450,-5,-5,490,True,False
3796,420,570,5,5,410,False,True
1862,230,330,5,5,310,False,True
